Bandwidth,FileCount,AvgFileSize,BufSize,StartTime,CC_Level,P_Level,PP_Level,numActiveCores,frequency,AvgRtt,TotalAvgTput,TotalEnergy,DataTransferEnergy,TimeStamps,FileType
10,32,222.64,40,06-28-2021 07:25:54:474,1,1,1,36,1.8,30,429.341102,11225.184,480.6602341,1,1
10,32,222.64,40,06-28-2021 07:28:25:436,1,1,1,36,2,30,432.2475945,11259.728,587.451894,1,1
10,32,222.64,40,06-28-2021 07:30:55:966,1,1,1,36,2.2,30,431.5796112,11413.058,724.3409201,1,1
10,32,222.64,40,06-28-2021 07:33:26:215,1,1,1,36,2.3,30,429.2362598,11452.054,704.983041,1,1
10,32,222.64,40,06-28-2021 07:35:57:723,1,1,1,40,1.2,30,428.4270013,11064.279,296.9076836,1,1
10,32,222.64,40,06-28-2021 07:38:29:941,1,1,1,40,1.4,30,427.394492,11019.348,225.8872509,1,1
10,32,222.64,40,06-28-2021 07:41:01:750,1,1,1,40,1.6,30,428.7927894,11130.189,371.9258288,1,1
10,32,222.64,40,06-28-2021 07:43:33:604,1,1,1,40,1.8,30,428.8943371,11129.523,373.8070219,1,1
10,32,222.64,40,06-28-2021 07:46:05:268,1,1,1,40,2,30,431.5702616,11236.393,547.3671694,1,1
10,32,222.64,40,06-28-2021 07:48:35:874,1,1,1,40,2.2,30,428.9189619,11368.874,613.7755233,1,1
10,32,222.64,40,06-28-2021 07:51:07:292,1,1,1,40,2.3,30,428.6605418,11441.437,679.8547589,1,1
10,32,222.64,40,06-28-2021 07:53:38:749,1,1,1,44,1.2,30,429.5231556,11040.349,300.3793067,1,1
10,32,222.64,40,06-28-2021 07:56:09:441,1,1,1,44,1.4,30,428.9682202,11083.228,329.364526,1,1
10,32,222.64,40,06-28-2021 07:58:41:024,1,1,1,44,1.6,30,432.0569774,11069.814,392.829446,1,1
10,32,222.64,40,06-28-2021 08:01:11:355,1,1,1,44,1.8,30,430.0052624,11261.311,533.3825834,1,1
10,32,222.64,40,06-28-2021 08:03:42:396,1,1,1,44,2,30,430.454346,11338.324,621.5877956,1,1
10,32,222.64,40,06-28-2021 08:06:13:013,1,1,1,44,2.2,30,429.8289826,11543.902,811.5738861,1,1
10,32,222.64,40,06-28-2021 08:08:43:962,1,1,1,44,2.3,30,429.3102608,11543.291,797.9953574,1,1
10,32,222.64,40,06-28-2021 08:11:15:039,1,1,1,48,1.2,30,427.2631054,11065.815,269.0351811,1,1
10,32,222.64,40,06-28-2021 08:13:46:659,1,1,1,48,1.4,30,426.7353188,11288.015,477.881714,1,1
10,32,222.64,40,06-28-2021 08:16:18:236,1,1,1,48,1.6,30,427.6819908,11207.913,421.707892,1,1
10,32,222.64,40,06-28-2021 08:18:49:581,1,1,1,48,1.8,30,430.3210717,11252.761,532.7057258,1,1
10,32,222.64,40,06-28-2021 08:21:20:068,1,1,1,48,2,30,429.5324167,11394.912,655.1738697,1,1
10,32,222.64,40,06-28-2021 08:23:51:017,1,1,1,48,2.2,30,429.304093,11481.62,736.1699821,1,1
10,32,222.64,40,06-28-2021 08:26:22:170,1,1,1,48,2.3,30,428.86356,11571.73,815.2421452,1,1
10,32,222.64,40,06-28-2021 08:28:53:392,4,1,1,2,1.2,30,1463.806246,3205.922,54.88971772,1,1
10,32,222.64,40,06-28-2021 08:29:48:168,4,1,1,2,1.4,30,1647.170339,2884.931,84.40793051,1,1
10,32,222.64,40,06-28-2021 08:30:37:548,4,1,1,2,1.6,30,1649.579945,2896.897,100.3876894,1,1
10,32,222.64,40,06-28-2021 08:31:26:692,4,1,1,2,1.8,30,1642.462456,2991.85,183.2994128,1,1
10,32,222.64,40,06-28-2021 08:32:15:871,4,1,1,2,2,30,1670.700028,2923.2,162.1198303,1,1
10,32,222.64,40,06-28-2021 08:33:03:729,4,1,1,2,2.2,30,1677.829349,2962.396,213.0483562,1,1
10,32,222.64,40,06-28-2021 08:33:51:611,4,1,1,2,2.3,30,1662.104219,2981.145,205.7079235,1,1
10,32,222.64,40,06-28-2021 08:34:39:594,4,1,1,4,1.2,30,1680.093371,2910.493,164.8503644,1,1
10,32,222.64,40,06-28-2021 08:35:27:796,4,1,1,4,1.4,30,1665.392671,2926.794,156.8372481,1,1
10,32,222.64,40,06-28-2021 08:36:15:555,4,1,1,4,1.6,30,1669.626523,2937.744,174.8885138,1,1
10,32,222.64,40,06-28-2021 08:37:03:426,4,1,1,4,1.8,30,1614.465433,3025.708,168.3748049,1,1
10,32,222.64,40,06-28-2021 08:37:52:297,4,1,1,4,2,30,1643.817735,2973.74,167.5050429,1,1
10,32,222.64,40,06-28-2021 08:38:40:579,4,1,1,4,2.2,30,1590.998866,3173.749,274.2713366,1,1
10,32,222.64,40,06-28-2021 08:39:30:147,4,1,1,4,2.3,30,1692.128356,2936.202,210.0106574,1,1
10,32,222.64,40,06-28-2021 08:40:17:347,4,1,1,8,1.2,30,1671.400884,2933.245,173.3226453,1,1
10,32,222.64,40,06-28-2021 08:41:05:418,4,1,1,8,1.4,30,1657.77042,2945.812,163.1964701,1,1
10,32,222.64,40,06-28-2021 08:41:53:263,4,1,1,8,1.6,30,1689.019936,2879.059,147.9276465,1,1
10,32,222.64,40,06-28-2021 08:42:40:437,4,1,1,8,1.8,30,1680.046142,2975.589,229.7919891,1,1
10,32,222.64,40,06-28-2021 08:43:28:046,4,1,1,8,2,30,1701.958747,2944.387,233.9419423,1,1
10,32,222.64,40,06-28-2021 08:44:15:098,4,1,1,8,2.2,30,1704.82318,2959.75,253.8590148,1,1
10,32,222.64,40,06-28-2021 08:45:01:932,4,1,1,8,2.3,30,1705.358294,2979.603,274.5610792,1,1
10,32,222.64,40,06-28-2021 08:45:47:982,4,1,1,12,1.2,30,1670.373163,2911.529,149.8313289,1,1
10,32,222.64,40,06-28-2021 08:46:35:367,4,1,1,12,1.4,30,1675.665379,2944.674,191.852911,1,1
10,32,222.64,40,06-28-2021 08:47:23:181,4,1,1,12,1.6,30,1690.883616,2880.137,151.938778,1,1
10,32,222.64,40,06-28-2021 08:48:10:329,4,1,1,12,1.8,30,1650.308759,2974.85,179.5756921,1,1
10,32,222.64,40,06-28-2021 08:48:58:359,4,1,1,12,2,30,1636.929099,3032.821,214.7763293,1,1
10,32,222.64,40,06-28-2021 08:49:46:375,4,1,1,12,2.2,30,1689.449651,2980.948,250.5113355,1,1
10,32,222.64,40,06-28-2021 08:50:33:314,4,1,1,12,2.3,30,1702.637572,2982.594,273.2295696,1,1
10,32,222.64,40,06-28-2021 08:51:20:351,4,1,1,16,1.2,30,1678.489058,2851.605,103.3379836,1,1
10,32,222.64,40,06-28-2021 08:52:07:748,4,1,1,16,1.4,30,1649.397842,2966.573,169.8321264,1,1
10,32,222.64,40,06-28-2021 08:52:55:948,4,1,1,16,1.6,30,1680.424052,2982.397,237.2946781,1,1
10,32,222.64,40,06-28-2021 08:53:43:047,4,1,1,16,1.8,30,1677.311369,2917.348,167.0741042,1,1
10,32,222.64,40,06-28-2021 08:54:30:070,4,1,1,16,2,30,1674.210197,2965.751,210.4599056,1,1
10,32,222.64,40,06-28-2021 08:55:17:020,4,1,1,16,2.2,30,1698.717566,3007.419,291.8023683,1,1
10,32,222.64,40,06-28-2021 08:56:03:920,4,1,1,16,2.3,30,1679.762821,3103.661,357.4780507,1,1
